Project Name,False Positives
0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3_eth,3
0x88f1a5ae2a3bf98aeaf342d26b30a79438c9142e_bsc,0
0x4691937a7508860f876c9c0a2a617e7d9e945d4b_eth,2
0x5a98fcbea516cf06857215779fd812ca3bef1b32_eth,3
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599_eth,2
0x1e4f97b9f9f913c46f1632781732927b9019c68b_fantom,2
0xe9e7cea3dedca5984780bafc599bd69add087d56_bsc,0
0xecdcb5b88f8e3c15f95c720c51c71c9e2080525d_poly,0
0x47bead2563dcbf3bf2c9407fea4dc236faba485a_bsc,3
0xac51c4c48dc3116487ed4bc16542e27b5694da1b_poly,0
0x031b41e504677879370e9dbcf937283a8691fa7f_bsc,2
0x9879abdea01a879644185341f7af7d8343556b7a_fantom,0
0x6c6ee5e31d828de241282b9606c8e98ea48526e2_eth,2
0xe48a3d7d0bc88d552f730b62c006bc925eadb9ee_bsc,3
0x352cb5e19b12fc216548a2677bd0fce83bae434b_bsc,2
0x1851ccd370c444ff494d7505e6103959bce9f9d9_bsc,0
0x76a797a59ba2c17726896976b7b3747bfd1d220f_bsc,0
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48_eth,0
0x9c9e5fd8bbc25984b178fdce6117defa39d2db39_avax,0
0x882c173bc7ff3b7786ca16dfed3dfffb9ee7847b_bsc,0
0x20cf1b6e9d856321ed4686877cf4538f2c84b4de_avax,0
0xa117000000f279d81a1d3cc75430faa017fa5a2e_eth,2
0x680447595e8b7b3aa1b43beb9f6098c79ac2ab3f_arbi,0
0xb766039cc6db368759c1e56b79affe831d0cc507_arbi,0
0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9_eth,2
0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0_eth,2
0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a_poly,0
0xd6df932a45c0f255f85145f286ea0b292b21c90b_poly,0
0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f_arbi,0
0x156ab3346823b651294766e23e6cf87254d68962_bsc,0
0x17fc002b466eec40dae837fc4be5c67993ddbd6f_arbi,3
0xb33eaad8d922b1083446dc23f610c2567fb5180f_poly,0
0xe83ce6bfb580583bd6a62b4be7b34fc25f02910d_poly,2
0x92d6c1e31e14520e676a687f0a93788b716beff5_eth,0
0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153_bsc,0
0x214db107654ff987ad859f34125307783fc8e387_avax,3
0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd_bsc,0
0x25d887ce7a35172c62febfd67a1856f20faebb00_arbi,1
0xd33526068d116ce69f19a9ee46f0bd304f21a51f_eth,3
0x1a3acf6d19267e2d3e7f898f42803e90c9219062_poly,3
0xb3654dc3d10ea7645f8319668e8f54d2574fbdc8_fantom,2
0x29b0da86e484e1c0029b56e817912d778ac0ec69_fantom,2
0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a_arbi,2
0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f_eth,0
0x62edc0692bd897d2295872a9ffcac5425011c661_avax,2
0x947950bcc74888a40ffa2593c5798f11fc9124c4_bsc,0
0x853d955acef822db058eb8505911ed77f175b99e_eth,7
0x8c7a56f2f2fd97da0f5b4fade180fa8dc3fbea8d_poly,0
0x040d1edc9569d4bab2d15287dc5a4f10f56a56b8_arbi,0
0xba11d00c5f74255f56a5e366f4f77f5a186d7f55_eth,2
0xcafcd85d8ca7ad1e1c6f82f651fa15e33aefd07b_arbi,0
0x9d2f299715d94d8a7e6f5eaa8e654e8c74a988a7_arbi,3
0x7083609fce4d1d8dc0c979aab8c869ea2c873402_bsc,0
0x2b9e7ccdf0f4e5b24757c1e1a80e311e34cb10c7_poly,0
0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0_eth,7
0x4a220e6096b25eadb88358cb44068a3248254675_eth,0
0xbb0e17ef65f82ab018d8edd776e8dd940327b28b_eth,1
0xdc301622e621166bd8e82f2ca0a26c13ad0be355_fantom,3
0x539bde0d7dbd336b79148aa742883198bbf60342_arbi,0
0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e_avax,0
0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c_eth,3
0x0c10bf8fcb7bf5412187a595ab97a3609160b5c6_eth,0
0x0ef39e52704ad52e2882bbfa6781167e1b6c4510_poly,0
0x5f98805a4e8be255a32880fdec7f6728c6568ba0_eth,2
0x9a71012b13ca4d3d0cdc72a177df3ef03b0e76a3_poly,0
0x23a941036ae778ac51ab04cea08ed6e2fe103614_arbi,0
0x63a72806098bd3d9520cc43356dd78afe5d386d9_avax,3
0x15d4c048f83bd7e37d49ea4c83a07267ec4203da_eth,2
0xa3f020a5c92e15be13caf0ee5c95cf79585eecc9_bsc,0
0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c_bsc,1
0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5_eth,3
0x23001f892c0c82b79303edc9b9033cd190bb21c7_poly,0
0x0000000000000000000000000000000000001010_poly,1
0xaea46a60368a7bd060eec7df8cba43b7ef41ad85_eth,2
0xcf0c122c6b73ff809c693db761e7baebe62b6a2e_eth,1
0x9813037ee2218799597d83d4a5b6f3b6778218d9_eth,2
0x3506424f91fd33084466f402d5d97f05f8e3b4af_eth,2
0x41b3966b4ff7b427969ddf5da3627d6aeae9a48e_poly,0
0xe83ce6bfb580583bd6a62b4be7b34fc25f02910d_fantom,2
0x408d4cd0adb7cebd1f1a1c33a0ba2098e1295bab_avax,0
0xcb46c550539ac3db72dc7af7c89b11c306c727c2_eth,2
0x6a07a792ab2965c72a5b8088d3a069a7ac3a993b_fantom,2
0x4338665cbb7b2485a8855a139b75d5e34ab0db94_bsc,0
0x0615dbba33fe61a31c7ed131bda6655ed76748b1_fantom,0
0x767fe9edc9e0df98e07454847909b5e959d7ca0e_eth,0
0x56ee926bd8c72b2d5fa1af4d9e4cbb515a1e3adc_fantom,2
0x056fd409e1d7a124bd7017459dfea2f387b6d5cd_eth,0
0x4385328cc4d643ca98dfea734360c0f596c83449_eth,0
0xd501281565bf7789224523144fe5d98e8b28f267_avax,3
0xfb6115445bff7b52feb98650c87f44907e58f802_bsc,0
0xbf5140a22578168fd562dccf235e5d43a02ce9b1_bsc,0
0x75231f58b43240c9718dd58b4967c5114342a86c_eth,1
0x6810e776880c02933d47db1b9fc05908e5386b96_eth,2
0x0316eb71485b0ab14103307bf65a021042c6d380_eth,3
0x152649ea73beab28c5b49b26eb48f7ead6d4c898_eth,1
0x16939ef78684453bfdfb47825f8a5f714f12623a_bsc,0
0x11eef04c884e24d9b7b4760e7476d06ddf797f36_eth,2
0xf57e7e7c23978c3caec3c3548e3d615c346e79ff_eth,2
0x9d65ff81a3c488d585bbfb0bfe3c7707c7917f54_eth,0
0xba2ae424d960c26247dd6c32edc70b295c744c43_bsc,0
0x2170ed0880ac9a755fd29b2688956bd959f933f8_bsc,0
0x967da4048cd07ab37855c090aaf366e4ce1b9f48_eth,3
0xc944e90c64b2c07662a292be6244bdf05cda44a7_eth,2
0x37b608519f91f70f2eeb0e5ed9af4061722e4f76_avax,0
0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429_eth,2
0x61299774020da444af134c82fa83e3810b309991_poly,0
0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d_bsc,0
0x9ac983826058b8a9c7aa1c9171441191232e8404_bsc,0
0x3cef98bb43d732e2f285ee605a8158cde967d219_poly,0
0x5947bb275c521040051d82396192181b413227a3_avax,3
0x18aaa7115705e8be94bffebde57af9bfc265b998_eth,0
0x3845badade8e6dff049820680d1f14bd3903a5d0_eth,0
0xbdeae1ca48894a1759a8374d63925f21f2ee2639_bsc,0
0xf34960d9d60be18cc1d5afc1a6f012a723a28811_eth,2
0x6fb3e0a217407efff7ca062d46c26e5d60a14d69_eth,2
0xf97f4df75117a78c1a5a0dbb814af92458539fb4_arbi,0
0xf6372cdb9c1d3674e83842e3800f2a62ac9f3c66_poly,0
0xae75a438b2e0cb8bb01ec1e1e376de11d44477cc_fantom,2
0x7420b4b9a0110cdc71fb720908340c03f9bc03ec_eth,2
0xfb5b838b6cfeedc2873ab27866079ac55363d37e_bsc,1
0x5fe2b58c013d7601147dcdd68c143a77499f5531_poly,0
0x3019bf2a2ef8040c242c9a4c5c4bd4c81678b2a1_bsc,0
0x98443b96ea4b0858fdf3219cd13e98c7a4690588_avax,3
0xd4d42f0b6def4ce0383636770ef773390d85c61a_arbi,0
0x172370d5cd63279efa6d502dab29171933a610af_poly,0
0xbf2179859fc6d5bee9bf9158632dc51678a4100e_eth,0
0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce_eth,0
0xe83ce6bfb580583bd6a62b4be7b34fc25f02910d_avax,2
0x1ba42e5193dfa8b03d15dd1b86a3113bbbef8eeb_bsc,0
0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b_eth,3
0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206_eth,2
0xb63b606ac810a52cca15e44bb630fd42d8d1d83d_eth,3
0x8d11ec38a3eb5e956b052f67da8bdc9bef8abf3e_fantom,2
